gene_id,Co, 8h,16h,24h,48h,72h,96h,114h
gene64,4.69604125,2.617720172,0.837312358,9.618930402,4.373304074,1.694011421,2.24963136,3.486064547
gene65,8.017505248,4.27152683,1.862321962,0.029796574,0.116923651,3.846716553,6.371439909,11.01110573
gene66,9.673730169,5.945143735,1.700789488,3.562858925,1.076598446,0.95669253,0.041483306,0
gene67,5.541011757,4.720448072,1.55334833,0.612389137,0.351028122,5.133403985,5.023109589,1.533439685
gene68,7.423677043,5.038091695,2.339493988,22.38116942,45.98056893,0.074561578,0.29884344,1.920405127
gene69,2.588235087,1.114368009,0.722409523,0.03185175,4.22213326,24.95284681,11.18723583,6.728053531
gene70,7.145971319,4.90747041,1.023013373,0.418921967,0.968732606,19.89549726,4.530813118,8.454316091
gene71,14.14031143,7.722897565,1.977181163,44.17657772,73.66297902,49.12648486,10.87301328,32.88027294
gene72,19.15904998,12.19149793,2.433005366,9.892148303,1.907834587,1.061944437,2.52527563,8.593477206
gene73,25.03489866,18.38248664,3.657252358,8.579350846,2.880120617,2.810346315,2.176040264,5.581857468
gene74,18.235195,15.18286934,3.044437313,12.27351308,4.183495382,0.36770093,1.097867725,2.394430837
