geneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TE1G36670,740.1726366,-0.749464657,0.099367676,-7.542338551,4.62E-14,1.39E-13
TE1G20850,1123.880991,0.617139148,0.081828715,7.541840899,4.63E-14,1.39E-13
TE2G15880,2356.45302,-0.511586876,0.067874108,-7.537290638,4.80E-14,1.44E-13
TE3G02080,40.53067685,-5.924653808,0.786175531,-7.536044529,4.84E-14,1.46E-13
TE1G46640,104.9653996,1.889846629,0.251102396,7.526199111,5.22E-14,1.57E-13
TE2G03810,332.5393738,0.996001612,0.132411361,7.522025357,5.39E-14,1.62E-13
TE2G32280,192.0235644,1.293692549,0.171999959,7.521470109,5.42E-14,1.63E-13
TE4G28170,155.2808312,-1.514644611,0.201380728,-7.521298718,5.42E-14,1.63E-13
TE3G10680,587.3574538,-0.794433563,0.10566494,-7.51842157,5.54E-14,1.67E-13
TE1G22110,78.29074569,2.008501679,0.267216985,7.516369797,5.63E-14,1.69E-13
TE1G15580,256.6678263,1.162532254,0.15475565,7.512050467,5.82E-14,1.75E-13
TE1G01690,1488.139684,-0.560883186,0.074697076,-7.508770294,5.97E-14,1.79E-13
TE1G43430,95.73776653,1.831863258,0.243980403,7.50823932,5.99E-14,1.80E-13
TE1G25430,52.23992222,2.707406964,0.360703344,7.505910349,6.10E-14,1.83E-13
TE3G05520,276.5176715,1.206490559,0.160739979,7.505852411,6.10E-14,1.83E-13
TE2G41660,114.68263,-1.643697444,0.21904222,-7.50402113,6.19E-14,1.86E-13
TE1G08840,130.4266123,-1.625941802,0.216683666,-7.503758039,6.20E-14,1.86E-13
TE2G15330,1741.134081,-0.569131177,0.075888786,-7.499542549,6.40E-14,1.92E-13
TE2G32300,75.48697033,2.213850428,0.295348744,7.495716424,6.59E-14,1.98E-13
TE2G06000,1234.040047,0.577835874,0.077107007,7.493947665,6.68E-14,2.00E-13
TE4G09160,44.65237049,2.953495292,0.394207109,7.492242594,6.77E-14,2.03E-13
TE3G10210,162.1786498,-1.483617477,0.198035873,-7.491660238,6.80E-14,2.04E-13
TE1G16670,256.2237171,1.088072291,0.145329774,7.48691932,7.05E-14,2.11E-13
TE3G22350,61.63102615,2.356054965,0.314839725,7.483347159,7.25E-14,2.17E-13
TE1G52190,57.74526165,2.734596132,0.365493521,7.481927787,7.32E-14,2.19E-13
TE2G08090,1162.730958,-0.618910303,0.082744382,-7.479786385,7.44E-14,2.23E-13
TE1G32890,94.36633222,-1.825420102,0.244049073,-7.4797256,7.45E-14,2.23E-13
TE3G13400,772.128302,-0.72232571,0.096582759,-7.478826647,7.50E-14,2.24E-13
TE4G17100,194.3417824,1.26463525,0.169316385,7.469065979,8.08E-14,2.42E-13
TE3G15400,143.4151814,1.463703916,0.196079349,7.464855044,8.34E-14,2.49E-13
TE4G14240,614.3205757,0.992247329,0.132951645,7.463219624,8.44E-14,2.52E-13
TE3G05680,334.3355144,-0.951140786,0.127491709,-7.460412863,8.63E-14,2.58E-13
TE4G08230,6475.249578,0.39858272,0.053430714,7.459805248,8.67E-14,2.59E-13
TE1G10390,2736.284125,0.468751814,0.062849669,7.458302084,8.76E-14,2.62E-13
TE4G07740,1380.634784,-0.555015065,0.074438828,-7.455988729,8.92E-14,2.66E-13
TE1G04310,514.761074,-0.786657728,0.105513306,-7.455531029,8.95E-14,2.67E-13
TE1G00610,221.1237557,-1.184793189,0.15894175,-7.454260358,9.04E-14,2.70E-13
TE1G16610,1000.755619,-0.623107456,0.083603669,-7.453111367,9.12E-14,2.72E-13
TE2G20250,93.52216159,-1.819266585,0.244120575,-7.45232796,9.17E-14,2.74E-13
TE1G29200,3762.36262,-0.43003583,0.057721873,-7.450136499,9.32E-14,2.78E-13
TE1G00710,48.26498303,9.039622218,1.213800928,7.447368027,9.52E-14,2.84E-13
TE2G18070,57.22327257,2.451196516,0.329321347,7.443175291,9.83E-14,2.93E-13
TE1G24570,1853.458813,0.577552301,0.077621421,7.440630345,1.00E-13,2.99E-13
TE1G20160,1425.880177,0.863384839,0.116104788,7.436255238,1.04E-13,3.09E-13
TE4G34690,50.85259287,-2.762615257,0.371526995,-7.435839911,1.04E-13,3.10E-13
TE3G11420,255.9490775,1.117011234,0.150232549,7.435214535,1.04E-13,3.11E-13
TE1G16330,1313.606528,0.574425445,0.077293681,7.431725773,1.07E-13,3.19E-13
TE2G32220,1355.55993,-0.643156005,0.08655126,-7.430925986,1.08E-13,3.21E-13
TE4G27310,972.9263892,-0.641203512,0.086327349,-7.427582524,1.11E-13,3.29E-13
TE2G00080,51.64079716,3.062784048,0.412441121,7.425990996,1.12E-13,3.33E-13
TE1G06830,1030.180145,-0.627792551,0.084593779,-7.421261412,1.16E-13,3.45E-13
TE2G24890,136.8035272,1.529485374,0.206207624,7.417210601,1.20E-13,3.56E-13
TE3G09210,33.76437576,4.128339576,0.556823567,7.414089168,1.22E-13,3.64E-13
